1234507,FRA1,1925,2020,BRU,CA6129,320,JY,0:55
1234567,FRA1,0725,0820,BRU,CA6119,319,JY,0:55
1234567,BRU,1105,1205,FRA1,CA6109,320,JY,1:00
1234500,BRU,1805,1910,FRA1,CA6107,319,JY,1:05
1004007,HET,0805,0920,PEK3,CA1144,738,CY,1:15
1234567,HET,0815,0930,PEK3,CA1104,738,CY,1:15
1234567,HET,0810,0925,PEK3,CA1128,738,CY,1:15
0000007,HET,0850,1010,PEK3,CA1138,738,CY,1:20
1234567,HET,0730,0850,PEK3,CA1102,737,CY,1:20
1234567,HET,1835,2010,PEK3,CA1106,738,CY,1:20
1234567,HET,2135,2255,PEK3,CA1112,738,CY,1:20
1234567,HET,2235,2355,PEK3,CA1116,738,CY,1:20
1234567,HET,1115,1235,PEK3,CA1118,321,CY,1:20
1234567,HET,2205,2325,PEK3,CA1136,321,CY,1:20
1234567,HRB,1235,1630,CTU2,CA4178,330,CY,1:20
0030000,PEK3,0920,1045,HET,CA1137,738,CY,1:25
1030567,DLC,1625,1755,PEK3,CA154,738,JY,1:25
1234567,PEK3,1920,2045,HET,CA1111,738,CY,1:25
1234567,PEK3,0720,0845,HET,CA1115,738,CY,1:25
1234567,PEK3,0915,1040,HET,CA1117,738,CY,1:25
1234567,PEK3,1925,2050,HET,CA1135,321,CY,1:25
1234567,DLC,2230,2355,PEK3,CA1608,738,CY,1:25
1234567,PEK3,0645,0810,WEH,CA1827,738,CY,1:25
1234567,DLC,2005,2130,PEK3,CA8901,738,CY,1:25
1234567,DLC,0910,1050,PEK3,CA8903,738,CY,1:25
1234567,DLC,1410,1540,PEK3,CA8905,738,CY,1:25
1234567,DLC,1915,2040,PEK3,CA8907,738,CY,1:25
1234567,DLC,1710,1845,PEK3,CA954,738,JY,1:25
1030567,PEK3,0810,0940,DLC,CA153,738,JY,1:30
1234507,PEK3,2000,2130,SHE,CA1601,333,CY,1:30
1234567,PEK3,1840,2010,SHE,CA1625,321,CY,1:30
1234567,PEK3,2000,2130,HET,CA1101,738,CY,1:30
1234567,PEK3,1625,1755,HET,CA1105,738,CY,1:30
1234567,PEK3,2015,2145,WEH,CA1597,320,CY,1:30
1234567,PEK3,1025,1205,DLC,CA1605,738,CY,1:30
1234567,PEK3,2305,0035,DLC,CA8902,738,CY,1:30
1234567,PEK3,1640,1815,DLC,CA8906,738,CY,1:30
1234567,PEK3,2225,2355,DLC,CA8908,738,CY,1:30
1234567,PEK3,0850,1020,DLC,CA953,738,JY,1:30
0204060,SHE,1105,1240,PEK3,CA1652,738,CY,1:35
1234567,DLC,0745,0920,PEK3,CA1606,738,CY,1:35
0204067,PEK3,0650,0830,DLC,CA1607,738,CY,1:40
1030507,PEK3,1155,1335,DLC,CA8904,738,CY,1:40
1034567,TSA1,1430,1610,SHA1,CA5514,333,JY,1:40
1234567,PEK3,1645,1825,SHE,CA1635,737,CY,1:40
1234567,SHE,0930,1110,PEK3,CA1602,330,CY,1:40
0000007,PVG2,0800,0945,TPE2,CA191,333,JY,1:45
1234567,SHE,1510,1655,PEK3,CA1658,738,CY,1:45
1234567,SHE,1920,2105,PEK3,CA1636,737,CY,1:45
0000007,INC,0900,1050,PEK3,CA1228,738,CY,1:50
0000007,TPE2,1055,1250,PVG2,CA192,333,JY,1:50
0000060,IAHC,0930,1115,LAX7,CA7366,738,FJY,1:50
0000500,TPE2,1120,1310,PVG2,CA5524,77W,JY,1:50
0204560,TSA,1500,1650,SHA1,CA198,333,JY,1:50
1234567,XIY2,1000,1150,PEK3,CA1204,738,CY,1:50
1234567,PEK3,2110,2300,CGO2,CA1331,738,CY,1:50
1234567,PVG2,1310,1500,TPE2,CA5511,744,JY,1:50
1234567,TPE2,1630,1820,PVG2,CA5522,744,JY,1:50
0123456,PVG2,1130,1325,TPE2,CA195,333,JY,1:55
0204060,HET,1830,2055,HGH,CA1914,330,CY,1:55
1004007,PEK3,1050,1345,ICN,CA5001,321,JY,1:55
